Verifying 94 replacements against live PubMed...
[30/94] associated_with:MEK1->GIST: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[31/94] associated_with:MEK1->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[32/94] associated_with:RAF1->AML: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[33/94] associated_with:RAF1->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[34/94] associated_with:STAT3->CML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[35/94] associated_with:STAT3->CLL: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[36/94] associated_with:CDK4->AML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[37/94] associated_with:CDK6->RCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[38/94] associated_with:CDK6->Melanoma: REPLACE_WEAK_NO_KEYWORD (both=True kw=None orig_ontopic=True)
[39/94] associated_with:CDK6->HCC: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[40/94] associated_with:E2F1->RCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[41/94] associated_with:E2F1->GIST: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[42/94] associated_with:BAX->RCC: REPLACE_OK (both=True kw=mutation orig_ontopic=True)
[43/94] associated_with:BAX->Breast_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[44/94] associated_with:CASP3->Ovarian_Cancer: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[45/94] associated_with:CASP3->AML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[46/94] associated_with:CASP9->AML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[47/94] associated_with:ATM->CLL: REPLACE_OK (both=True kw=overexpress orig_ontopic=True)
[48/94] associated_with:MDM2->Multiple_Myeloma: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[49/94] associated_with:RAD51->NSCLC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[50/94] associated_with:RAD51->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[51/94] associated_with:NPM1->AML: REPLACE_OK (both=True kw=implicat orig_ontopic=True)
[52/94] associated_with:KRAS->AML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[53/94] associated_with:PTEN->AML: REPLACE_OK (both=True kw=overexpress orig_ontopic=True)
[54/94] associated_with:RET->HCC: REPLACE_WEAK_NO_KEYWORD (both=True kw=None orig_ontopic=True)
[55/94] associated_with:PI3KCA->Colorectal_Cancer: REPLACE_OK (both=True kw=implicat orig_ontopic=True)
[56/94] associated_with:KRAS->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[57/94] associated_with:KRAS->Glioblastoma: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[58/94] associated_with:CCND1->Ewing_Sarcoma: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[59/94] associated_with:CCND1->Ovarian_Cancer: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[60/94] associated_with:PIK3CA->Glioblastoma: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[61/94] associated_with:CCND1->AML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[62/94] associated_with:BRCA1->AML: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[63/94] associated_with:STAT5->CLL: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[64/94] associated_with:JAK2->CLL: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[65/94] associated_with:FLT3->CML: REPLACE_OK (both=True kw=implicat orig_ontopic=True)
[66/94] associated_with:KDR->RCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[67/94] associated_with:BRCA1->Soft_Tissue_Sarcoma: REPLACE_OK (both=True kw=mutation orig_ontopic=True)
[68/94] associated_with:PTEN->CML: REPLACE_OK (both=True kw=overexpress orig_ontopic=True)
[69/94] associated_with:PTEN->GIST: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[70/94] associated_with:KRAS->GIST: REPLACE_OK (both=True kw=implicat orig_ontopic=True)
[71/94] associated_with:KIT->NSCLC: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[72/94] associated_with:STAT5A->CML: REPLACE_OK (both=True kw=overexpress orig_ontopic=True)
[73/94] associated_with:CCND1->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[74/94] associated_with:CCND1->Glioblastoma: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[75/94] associated_with:MAPK1->Prostate_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[76/94] associated_with:NRAS->Prostate_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[77/94] associated_with:SRC->Melanoma: REPLACE_OK (both=True kw=implicat orig_ontopic=True)
[78/94] associated_with:CHEK2->HCC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[79/94] associated_with:NFKB1->Ovarian_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[80/94] associated_with:STAT5B->Pancreatic_Cancer: REPLACE_OK (both=True kw=correlat orig_ontopic=True)
[81/94] associated_with:STAT5B->NSCLC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[82/94] associated_with:KDR->Ovarian_Cancer: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[83/94] associated_with:STAT5->CML: REPLACE_WEAK_NO_KEYWORD (both=True kw=None orig_ontopic=True)
[84/94] associated_with:PTEN->NSCLC: REPLACE_OK (both=True kw=mutation orig_ontopic=True)
[85/94] associated_with:KRAS->Melanoma: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[86/94] associated_with:MMP9->NSCLC: REPLACE_OK (both=True kw=associat orig_ontopic=True)
[87/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)
[88/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)
[89/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)
[90/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)
[91/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)
[92/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)
[93/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)
[94/94] None: REJECT_ENTITIES_MISSING (both=False kw=associat orig_ontopic=True)

=== SUMMARY ===
   81  REPLACE_OK
    5  REPLACE_WEAK_NO_KEYWORD
    8  REJECT_ENTITIES_MISSING
Wrote data/REPLACEMENT_VERIFICATION.json
